ticker,security_name,gics_sector,gics_sub_industry,headquarters_location,cik,founded,status
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",9389,1880,active
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",10456,1931,active
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",764478,1966,active
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",10795,1897,active
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",38777,1947,active
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",14693,1870,renamed
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",1996862,1818,active
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",875045,1978,active
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",1075531,1996,active
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1701605,2017,active
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",1316835,1998,active
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2012383,1988,active
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",14272,1989 (1887),active
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1390777,1784,active
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",1383312,1962,active
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",1067983,1839,renamed
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",79282,1939,active
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",885725,1979,active
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",1393818,1985,active
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",1037540,1970,active
C,Citigroup,Financials,Diversified Banks,"New York City, New York",831001,1998,active
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",23217,1919,active
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",721371,1971,active
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",1783180,"2020 (1915, United Technologies spinoff)",active
CASY,Casey's,Consumer Staples,Food Retail,"Ankeny, Iowa",726958,1967,active
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",18230,1925,active
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",896159,1985,active
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",1374310,1973,active
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",1138118,1906,active
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",1051470,1994,active
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",815097,1972,active
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",813672,1988,active
CDW,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois",1402057,1984,active
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",1868275,1999,active
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",1324404,1946,active
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",759944,1828,active
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",313927,1847,active
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1043277,1905,active
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",1091667,1993,active
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1739940,1982,active
CIEN,Ciena,Information Technology,Communications Equipment,"Hanover, Maryland",936395,1992,active
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",20286,1950,active
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",21665,1806,active
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",21076,1913,active
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",1166691,1963,active
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",1156375,1848,active
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",1058090,1993,active
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",26172,1919,active
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",811156,1886,active
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",1071739,1984,active
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1130310,1882,active
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",927628,1994,active
COHR,Coherent Corp.,Information Technology,Electronic Components,"Saxonburg, Pennsylvania",820318,1971,active
COIN,Coinbase,Financials,Financial Exchanges & Data,"New York City, New York",1679788,2012,active
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",711404,1958,active
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1163165,2002,active
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",1140859,1985,active
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",909832,1976,active
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",1175454,2000,active
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",16732,1869,active
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",900075,1982,active
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",906345,1981,active
CRH,CRH plc,Materials,Construction Materials,"Dublin, Ireland",849395,1970,active
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",1100682,1947,active
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",1108524,1999,active
